Rank|Name|Affiliation|Country|H-Index|Citations|Specialty
1|Bert Vogelstein|Johns Hopkins University|USA|494|494,405|Cancer Genomics
2|Shizuo Akira|Osaka University|Japan|474|474,072|Innate Immunity
3|Albert Hofman|Harvard University|USA|466|466,300|Aging & Epidemiology
4|Robert S. Langer|MIT|USA|451|451,612|Biomaterials & Drug Delivery
5|Mark J. Daly|Massachusetts General Hospital|USA|446|446,427|Human Genetics
6|Meir J. Stampfer|Harvard University|USA|426|426,663|Preventive Medicine
7|Guido Kroemer|Université Paris Cité|France|418|418,768|Autophagy
8|Walter C. Willett|Harvard University|USA|411|631,981|Nutritional Epidemiology
9|George Davey Smith|University of Bristol|UK|409|409,117|Genetic Epidemiology
10|Frank B. Hu|Harvard University|USA|405|405,071|Nutrition & Metabolic Disease
11|JoAnn E. Manson|Harvard Medical School|USA|401|401,469|Women's Health
12|Salim Yusuf|McMaster University|Canada|385|385,990|Global Cardiology Trials
13|Graham A. Colditz|Washington University|USA|379|379,230|Cancer Prevention
14|Matthew Meyerson|Harvard University|USA|366|366,809|Cancer Genomics
15|Gordon H. Guyatt|McMaster University|Canada|366|366,571|Evidence-Based Medicine
16|Kenneth W. Kinzler|Johns Hopkins University|USA|350|350,112|Cancer Genetics
17|Cyrus Cooper|University of Southampton|UK|346|346,002|Musculoskeletal Science
18|Karl J. Friston|University College London|UK|342|342,668|Computational Neuroscience
19|Matthias Mann|Max Planck Institute|Germany|342|342,563|Proteomics
20|Ali H. Mokdad|University of Washington|USA|333|333,816|Global Health Metrics
21|Hagop M. Kantarjian|MD Anderson Cancer Center|USA|320|320,383|Leukemia Research
22|Rory Collins|University of Oxford|UK|315|315,630|Clinical Trial Methodology
23|Gordon B. Mills|Oregon Health & Science University|USA|307|307,266|Systems Oncology
24|Daniel Levy|National Institutes of Health|USA|306|306,788|Hypertension
25|Yi Cui|Stanford University|USA|299|299,036|Nanomedicine
26|Peter Libby|Brigham & Women’s Hospital|USA|297|297,635|Atherosclerosis
27|Luigi Ferrucci|National Institutes of Health|USA|288|288,571|Aging Medicine
28|Stephen B. Baylin|Johns Hopkins University|USA|281|281,231|Cancer Epigenetics
29|Carlo M. Croce|Ohio State University|USA|276|276,567|microRNA & Oncology
30|David J. Hunter|Harvard University|USA|266|266,114|Genetic Epidemiology
31|Stefan D. Anker|Charité – Berlin|Germany|263|263,761|Heart Failure
32|Hans Clevers|Hubrecht Institute|Netherlands|261|261,683|Organoid Biology
33|Fred H. Gage|Salk Institute|USA|260|260,897|Neural Stem Cells
34|Robert M. Califf|Duke University|USA|260|260,297|Cardiovascular Trials
35|Irving L. Weissman|Stanford University|USA|253|253,174|Stem Cell Biology
36|Rudolf Jaenisch|Massachusetts Institute of Technology|USA|246|246,626|Epigenetics
37|Eric J. Topol|Scripps Research|USA|241|241,960|Digital Medicine
38|Giuseppe Mancia|University of Milano-Bicocca|Italy|240|240,740|Hypertension
39|Ronald C. Petersen|Mayo Clinic|USA|239|239,682|Alzheimer’s Disease
40|Dan J. Stein|University of Cape Town|South Africa|238|238,402|Anxiety & Stress Disorders
41|Trevor W. Robbins|University of Cambridge|UK|237|237,030|Cognitive Neuroscience
42|Dennis J. Selkoe|Brigham & Women’s Hospital|USA|236|236,826|Alzheimer’s & Amyloid
43|Tamara B. Harris|National Institutes of Health|USA|236|236,348|Gerontology
44|Markku Laakso|University of Eastern Finland|Finland|225|225,818|Diabetes Genetics
45|Majid Ezzati|Imperial College London|UK|225|225,520|Global Health Metrics
46|Eric B. Rimm|Harvard University|USA|220|220,083|Nutritional Epidemiology
47|Marc A. Pfeffer|Harvard Medical School|USA|215|215,379|Cardiovascular Medicine
48|Charles A. Dinarello|University of Colorado|USA|213|213,595|Cytokine Biology
49|Anthony S. Fauci|National Institutes of Health|USA|210|210,000|Infectious Diseases
50|Robert A. Weinberg|MIT|USA|210|210,000|Oncogene Discovery
51|Michael John Owen|Cardiff University|UK|208|208,350|Neuropsychiatric Genetics
52|Rinaldo Bellomo|Monash University|Australia|204|204,833|Intensive Care
53|Veikko Salomaa|THL Finland|Finland|204|204,261|Population Health
54|Naveed Sattar|University of Glasgow|UK|203|203,262|Metabolic Medicine
55|Napoleone Ferrara|UC San Diego|USA|200|200,961|Anti-VEGF Oncology
56|Carlo La Vecchia|University of Milan|Italy|200|200,047|Clinical Epidemiology
57|Gregg C. Fonarow|UCLA|USA|199|199,463|Cardiology Outcomes
58|Jeffrey L. Cummings|University of Nevada, Las Vegas|USA|196|196,481|Alzheimer’s Drug Development
59|Gregg L. Semenza|Johns Hopkins University|USA|194|194,532|Hypoxia Signaling
60|Deepak L. Bhatt|Mount Sinai Hospital|USA|192|192,591|Cardiovascular Trials
61|Eric Van Cutsem|KU Leuven|Belgium|190|190,330|Digestive Oncology
62|William G. Kaelin Jr.|Dana-Farber Cancer Institute|USA|189|189,000|Hypoxia & Tumor Biology
63|Bernard J. Gersh|Mayo Clinic|USA|185|185,593|Clinical Cardiology
64|Jerome I. Rotter|UCLA Medical Center|USA|185|185,061|Medical Genetics
65|James P. Allison|MD Anderson Cancer Center|USA|185|185,000|CTLA-4 Immunotherapy
66|Dennis S. Charney|Icahn School of Medicine at Mount Sinai|USA|184|184,128|Psychiatry & Resilience
67|Bruce M. Psaty|University of Washington|USA|184|184,128|Cardiovascular Epidemiology
68|Peter Carmeliet|KU Leuven|Belgium|181|181,214|Vascular Biology
69|Zhijian “James” Chen|UT Southwestern|USA|180|180,000|cGAS Pathway
70|David A. Bennett|Rush University|USA|179|179,556|Alzheimer’s Pathology
71|Daniel R. Weinberger|Johns Hopkins University|USA|179|179,076|Neurogenetics
72|Elaine S. Jaffe|National Institutes of Health|USA|176|176,235|Hematopathology
73|William J. Sandborn|University of California, San Diego|USA|176|176,145|Inflammatory Bowel Disease
74|Tasuku Honjo|Kyoto University|Japan|175|175,000|PD-1 Immunotherapy
75|Gary Ruvkun|Harvard Medical School|USA|175|175,000|microRNA Biology
76|Bruce L. Miller|University of California, San Francisco|USA|174|174,645|Behavioral Neurology
77|Steven R. Cummings|University of California, San Francisco|USA|174|174,580|Osteoporosis
78|James G. Herman|University of Pittsburgh|USA|172|172,203|DNA Methylation
79|Elio Riboli|Imperial College London|UK|171|171,304|Cancer Epidemiology
80|Shimon Sakaguchi|Osaka University|Japan|170|170,000|Regulatory T Cells
81|Demis Hassabis|DeepMind|UK|170|170,000|AI Structural Biology
82|Paul Elliott|Imperial College London|UK|169|169,396|Environmental Epidemiology
83|Stephen R. Bloom|Imperial College London|UK|169|169,051|Metabolic Endocrinology
84|Frederik Barkhof|University College London|UK|168|168,946|Neuroradiology
85|Silvia Franceschi|CRO Italy|Italy|168|168,047|Cancer Epidemiology
86|Eric J. Nestler|Icahn School of Medicine at Mount Sinai|USA|167|167,370|Molecular Psychiatry
87|David Cella|Northwestern University|USA|165|165,527|Outcomes Research
88|Feng Zhang|Broad Institute|USA|165|165,000|CRISPR Engineering
89|John Jumper|DeepMind|UK|165|165,000|AlphaFold
90|Gerald I. Shulman|Yale University|USA|162|162,420|Metabolic Physiology
91|Lenore J. Launer|National Institutes of Health|USA|162|162,146|Neuroepidemiology
92|Gordon J. Freeman|Harvard University|USA|161|161,793|PD-1 Signaling
93|Nora D. Volkow|National Institute on Drug Abuse (NIH)|USA|161|161,404|Addiction Science
94|Jens J. Holst|University of Copenhagen|Denmark|160|160,171|Incretin Hormones
95|Emmanuelle Charpentier|Max Planck Unit|Germany|160|160,000|CRISPR-Cas9
96|Carl H. June|University of Pennsylvania|USA|158|158,837|CAR-T Therapy
97|Jennifer A. Doudna|University of California, Berkeley|USA|158|158,000|CRISPR-Cas9
98|Gabriel Hortobagyi|MD Anderson Cancer Center|USA|157|157,507|Breast Oncology
99|John D. Minna|UT Southwestern|USA|156|156,846|Lung Cancer Biology
100|Josef M. Penninger|University of British Columbia|Canada|155|155,000|Bone & Immune Biology
101|David M. Holtzman|Washington University|USA|153|153,219|Neurodegenerative Disease
102|Nicholas J. White|Mahidol University|Thailand|152|152,551|Tropical Medicine
103|Alec Vahanian|Université Paris Cité|France|152|152,097|Structural Heart Disease
104|Katalin Karikó|University of Pennsylvania|USA|150|150,000|mRNA Therapeutics
105|Michael G. Rosenfeld|University of California, San Diego|USA|149|149,237|Endocrinology
106|Tomas Hökfelt|Karolinska Institute|Sweden|149|149,012|Neurohistology
107|Drew Weissman|University of Pennsylvania|USA|148|148,000|mRNA Immunology
108|Michel Sadelain|Memorial Sloan Kettering|USA|142|142,000|CAR-T Engineering
109|Cesar G. Victora|Federal University of Pelotas|Brazil|140|140,882|Child Health Epidemiology
110|Lotte B. Knudsen|Novo Nordisk|Denmark|138|138,000|GLP-1 Drug Development
111|Mitch Dowsett|Royal Marsden Hospital|UK|137|137,921|Breast Cancer Endocrine Therapy
112|Svetlana Mojsov|Rockefeller University|USA|130|130,000|GLP-1 Biology
113|Joel F. Habener|Harvard Medical School|USA|125|125,000|Glucagon Gene Discovery
114|Joel D. Dudley|Mount Sinai|USA|124|120,000|AI & Precision Medicine
115|Atul Gawande|Harvard T.H. Chan School of Public Health|USA|124|110,000|Surgical Safety & Health Systems
116|Ron D. Hays|University of California, Los Angeles|USA|122|122,202|Patient-Reported Outcomes
117|Richard A. Deyo|Oregon Health & Science University|USA|121|121,987|Low Back Pain Research
118|Patrick C. Walsh|Johns Hopkins University|USA|116|116,308|Nerve-Sparing Prostatectomy
119|Anders Björklund|Lund University|Sweden|113|109,812|Neural Repair
120|Stephen O’Rahilly|University of Cambridge|UK|109|109,715|Severe Obesity Genetics
121|Nikhil C. Munshi|Harvard University|USA|107|107,507|Multiple Myeloma Genomics
122|Dan M. Roden|Vanderbilt University|USA|106|106,556|Pharmacogenomics
123|Neil Risch|University of California, San Francisco|USA|99|99,202|Genetic Epidemiology
124|Peter J. Ratcliffe|University of Oxford|UK|95|95,314|Oxygen Sensing
125|Madhukar H. Trivedi|UT Southwestern Medical Center|USA|90|90,917|Depression Clinical Trials
126|Geraldine Dawson|Duke University|USA|84|84,097|Autism Early Intervention
127|David J. Hunter|Harvard University|USA|130|266,114|Genetic Epidemiology
128|Tamara B. Harris|National Institutes of Health|USA|130|236,348|Gerontology
129|Eric B. Rimm|Harvard University|USA|129|220,083|Nutritional Epidemiology
